8, 20000000, 2, 7.33, 6.99, 7.01
8, 20000000, 2, 7.36, 8.21, 6.08
8, 20000000, 2, 7.34, 7.38, 6.72
8, 40000000, 2, 14.47, 14.65, 13.15
8, 40000000, 2, 14.26, 12.86, 14.17
8, 40000000, 2, 14.99, 14.21, 14.35
8, 80000000, 2, 30.13, 28.89, 28.68
8, 80000000, 2, 30.30, 28.81, 29.06
8, 80000000, 2, 29.71, 28.38, 28.17
8, 160000000, 2, 60.72, 58.20, 57.65
8, 160000000, 2, 59.70, 59.38, 54.86
8, 160000000, 2, 60.83, 60.63, 55.92
8, 20000000, 4, 22.40, 25.32, 55.04
8, 20000000, 4, 21.58, 25.56, 52.97
8, 20000000, 4, 20.54, 25.60, 49.09
8, 40000000, 4, 46.74, 52.44, 116.44
8, 40000000, 4, 45.04, 53.28, 109.39
8, 40000000, 4, 45.28, 53.56, 110.05
8, 80000000, 4, 89.71, 105.19, 219.60
8, 80000000, 4, 87.67, 110.06, 209.41
8, 80000000, 4, 90.69, 103.43, 223.83
8, 160000000, 4, 179.45, 213.46, 437.90
8, 160000000, 4, 175.24, 209.40, 428.86
8, 160000000, 4, 181.44, 209.24, 446.75
8, 20000000, 8, 57.99, 83.92, 345.90
8, 20000000, 8, 57.09, 78.53, 347.38
8, 20000000, 8, 56.89, 80.26, 343.30
8, 40000000, 8, 114.00, 149.91, 705.18
8, 40000000, 8, 118.12, 160.00, 721.48
8, 40000000, 8, 113.18, 163.04, 675.65
8, 80000000, 8, 237.99, 328.57, 1452.54
8, 80000000, 8, 231.56, 320.10, 1404.56
8, 80000000, 8, 249.15, 363.84, 1485.35
8, 160000000, 8, 464.79, 658.05, 2792.44
8, 160000000, 8, 492.76, 748.95, 2886.00
8, 160000000, 8, 470.98, 657.90, 2851.39
8, 20000000, 16, 118.38, 131.50, 813.68
8, 20000000, 16, 116.54, 121.83, 808.82
8, 20000000, 16, 114.89, 122.34, 794.92
8, 40000000, 16, 240.41, 253.76, 1665.21
8, 40000000, 16, 230.45, 243.19, 1596.78
8, 40000000, 16, 232.87, 255.28, 1603.66
8, 80000000, 16, 463.60, 490.98, 3210.16
8, 80000000, 16, 459.98, 489.69, 3182.93
8, 80000000, 16, 463.85, 504.30, 3197.70
8, 160000000, 16, 931.09, 986.06, 6447.83
8, 160000000, 16, 901.92, 970.72, 6229.66
8, 160000000, 16, 965.33, 1063.32, 6640.75
